Name,Year,Price,Rating,Country,Winetype,Boldness,Sweetness,Acidity,Link
Haut-Médoc 2016,2016,179.95,4.2,France,Red wine,67.5254,0.0001,69.5857,https://www.vivino.com/DK/en/chateau-bellegrave-du-poujeau-haut-medoc/w/1811845?year=2016&price_id=24473556
GHR Neighbours Shiraz 2017,2017,199,4.2,Australia,Red wine,85,17.8918,43.3294,https://www.vivino.com/DK/en/au-dutschke-ghr-neighbours-shiraz/w/2054881?year=2017&price_id=22988961
La Esperanza Single Vineyard Bonarda 2017,2017,149.95,4.2,Argentina,Red wine,51.9608,18.9576,74.7831,https://www.vivino.com/DK/en/el-enemigo-la-esperanza-bonarda-dbf968/w/6338024?year=2017&price_id=23100932
Barolo 2016,2016,199,4.2,Italy,Red wine,62.7206,5.5868,82.2647,https://www.vivino.com/DK/en/gian-piero-marrone-la-morra-barolo/w/1915408?year=2016&price_id=21740142
Ué Pàssula Primitivo di Manduria 2016,2016,149,4.2,Italy,Red wine,63.9212,39.1324,8.9536,https://www.vivino.com/DK/en/vinosia-ue-passula-primitivo-di-manduria/w/1154286?year=2016&price_id=23944772
Amore e Follia 2018,2018,185,4.2,Italy,Red wine,50.5626,10.647,46.552,https://www.vivino.com/DK/en/podere-le-ripi-amore-e-follia/w/1986213?year=2018&price_id=24091464
Arch Terrace Syrah 2016,2016,159,4.2,United States,Red wine,68.0444,0.0001,57.009,https://www.vivino.com/DK/en/terra-blanca-winery-arch-terrace-syrah/w/1212657?year=2016&price_id=22390344
Florence Winemakers Selection 2019,2019,119,4.2,South Africa,Red wine,0,0,0,https://www.vivino.com/DK/en/aaldering-florence-winemakers-selection/w/8307942?year=2019&price_id=24517457
Reserva 2012,2012,149,4.2,Spain,Red wine,68.3619,9.30411,67.3004,https://www.vivino.com/DK/en/marquees-del-hueco-reserva/w/1360463?year=2012&price_id=20110707
Primitivo Appassito 2020,2020,89,4.2,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/casa-del-coppiere-primitivo-appassito/w/5961810?year=2020&price_id=24729169
Daniel Grenache 2017,2017,169,4.2,South Africa,Red wine,0,0,0,https://www.vivino.com/DK/en/blackwater-daniel-grenache/w/6795249?year=2017&price_id=21095342
Mercurey 2013,2013,159.95,4.2,France,Red wine,19.8108,4.20517,68.285,https://www.vivino.com/DK/en/domaine-de-suremain-mercurey/w/19138?year=2013&price_id=22680814
Gio 15 Primitivo 2017,2017,99,4.2,Italy,Red wine,75.8014,45.3743,19.8009,https://www.vivino.com/DK/en/risveglio-gio-15-primitivo/w/6788020?year=2017&price_id=20356205
Barolo 2017,2017,199.95,4.2,Italy,Red wine,56.1037,1.97027,79.9966,https://www.vivino.com/DK/en/trediberri-barolo/w/1981344?year=2017&price_id=23941623
Malbec 2016,2016,129.95,4.1,Argentina,Red wine,65.193,19.3813,33.6162,https://www.vivino.com/DK/en/catena-mendoza-malbec/w/1873?year=2016&price_id=22682101
