Name,Year,Price,Rating,Country,Winetype,Boldness,Sweetness,Acidity,Link
Sauternes 2009,2009,2495,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2009&price_id=12244633
Sauternes 2010,2010,2495,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2010&price_id=3666235
Sauternes 2014,2014,1750,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2014&price_id=11042522
Sauternes 1970,1970,10995,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1970&price_id=21159699
Sauternes 1982,1982,2995,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1982&price_id=160104
Vin de Constance (Natural Sweet) 2017,2017,0,4.7,South Africa,Dessert wine,0,0,0,https://www.vivino.com/DK/en/klein-constantia-vin-de-constance-natural-sweet/w/1958101?year=2017&price_id=23255064
Sauternes 1979,1979,10995,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1979&price_id=5933213
Vin Santo di Montepulciano Occhio di Pernice 2002,2002,0,4.7,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/avignonesi-vin-santo-di-montepulciano-occhio-di-pernice/w/1502021?year=2002&price_id=24266278
Sauternes 1971,1971,10995,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1971&price_id=4382555
Vin Santo di Montepulciano 1990,1990,0,4.7,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/montemercurio-vin-santo-di-montepulciano/w/1991170?year=1990&price_id=7695632
Sauternes 1921,1921,10995,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1921&price_id=3224409
Sauternes (Crème de Tête) 1955,1955,1500,4.7,France,Dessert wine,82.3151,85,75.225,https://www.vivino.com/DK/en/fr-chateau-gilette-sauternes-creme-de-tete/w/1822247?year=1955&price_id=16903398
Sauternes 2018,2018,2999,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2018&price_id=24657136
Vin de Constance (Natural Sweet) 2013,2013,0,4.6,South Africa,Dessert wine,0,0,0,https://www.vivino.com/DK/en/klein-constantia-vin-de-constance-natural-sweet/w/1958101?year=2013&price_id=23507644
Vin de Constance (Natural Sweet) 2014,2014,0,4.6,South Africa,Dessert wine,0,0,0,https://www.vivino.com/DK/en/klein-constantia-vin-de-constance-natural-sweet/w/1958101?year=2014&price_id=22439437
Vin de Constance (Natural Sweet) 2008,2008,0,4.6,South Africa,Dessert wine,0,0,0,https://www.vivino.com/DK/en/klein-constantia-vin-de-constance-natural-sweet/w/1958101?year=2008&price_id=20176662
Vin de Constance (Natural Sweet) 2015,2015,0,4.6,South Africa,Dessert wine,0,0,0,https://www.vivino.com/DK/en/klein-constantia-vin-de-constance-natural-sweet/w/1958101?year=2015&price_id=22726645
Sauternes (Premier Grand Cru Classé) 2001,2001,399,4.6,France,Dessert wine,85,85,76.3752,https://www.vivino.com/DK/en/chateau-rieussec-sauternes-premier-grand-cru-classe/w/1135215?year=2001&price_id=20764492
Vin de Constance (Natural Sweet) 2009,2009,0,4.6,South Africa,Dessert wine,0,0,0,https://www.vivino.com/DK/en/klein-constantia-vin-de-constance-natural-sweet/w/1958101?year=2009&price_id=12244063
Sauternes 2000,2000,1395,4.6,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2000&price_id=9961941
Sauternes 1985,1985,2995,4.6,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1985&price_id=8157853
Tokaji Aszú 6 Puttonyos 2005,2005,0,4.6,Hungary,Dessert wine,0,0,0,https://www.vivino.com/DK/en/oremus-tokaji-aszu-6-puttonyos-tokaj/w/77175?year=2005&price_id=23507526
Ben Ryé Passito di Pantelleria 2018,2018,0,4.6,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/donnafugata-ben-rye-passito-di-pantelleria/w/1176121?year=2018&price_id=24585540
Tokaji Aszú 6 Puttonyos 2007,2007,0,4.6,Hungary,Dessert wine,0,0,0,https://www.vivino.com/DK/en/oremus-tokaji-aszu-6-puttonyos-tokaj/w/77175?year=2007&price_id=23507560
Barsac (Premier Grand Cru Classé) 1989,1989,1199.95,4.6,France,Dessert wine,84.8277,85,76.7038,https://www.vivino.com/DK/en/chateau-climens-barsac-premier-grand-cru-classe/w/16786?year=1989&price_id=20621085
