Freakshow Red 2015,2015,199,3.9,2403,United States
Guidalberto 2018,2018,349,4.2,2388,Italy
Antiguas Reservas Cabernet Sauvignon 2017,2017,115,3.8,2382,Chile
Costamolino Vermentino di Sardegna 2017,2017,119.95,3.8,2377,Italy
Brunello di Montalcino 2013,2013,349.95,4.2,2358,Italy
Barolo 2014,2014,185,3.9,2355,Italy
Time Waits For No One (Red label) 2017,2017,85,3.8,2347,Spain
Malbec 2016,2016,299.95,4.3,2344,Argentina
Catarratto - Zibibbo 2019,2019,59,3.9,2344,Italy
Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2014,2014,599.95,4.6,2335,Argentina
Veraton Garnacha 2016,2016,398,4.3,2326,Spain
Chianti Classico 2015,2015,139.95,3.9,2324,Italy
Coste di Moro Montepulciano d'Abruzzo 2016,2016,149,3.8,2299,Italy
Pauillac (Grand Cru Classé) 2008,2008,1500,4.3,2296,France
Petite Sirah 2018,2018,125,4.0,2290,United States
Sauvignon Blanc 2020,2020,249,4.2,2290,New Zealand
No Name 2015,2015,349,4.1,2286,Italy
Fantini Montepulciano d'Abruzzo 2018,2018,87.50,3.6,2285,Italy
Toscana Governo Rosso 2018,2018,99,4.1,2283,Italy
Taurasi 2012,2012,169.95,3.9,2263,Italy
Cabernet Sauvignon 2016,2016,129.95,3.9,2256,Argentina
Le Difese 2018,2018,199.95,3.8,2252,Italy
Alicante Bouschet 2019,2019,59,4.1,2245,Portugal
Tinto 2018,2018,139,4.2,2244,Spain
Finca Resalso 2019,2019,99,3.8,2243,Spain
Flor de Pingus 2015,2015,895,4.5,2233,Spain
Chardonnay 2016,2016,129.95,3.9,2229,Argentina
Ancient Vines Zinfandel 2018,2018,199,3.8,2226,United States
Crianza Rioja 2014,2014,119,3.7,2213,Spain
Rioja Reserva 2012,2012,249.95,4.2,2200,Spain
Geyserville 2016,2016,335,4.3,2198,United States
La Flor Malbec 2019,2019,90.30,3.9,2194,Argentina
Malbec 2018,2018,115,3.7,2186,Argentina
Pauillac (Grand Cru Classé) 2011,2011,1100,4.3,2186,France
Cabernet Sauvignon 2014,2014,129.95,3.8,2182,Argentina
Gentil 2018,2018,125,3.8,2148,France
Gran Reserva 2013,2013,184,4.1,2140,Spain
Freakshow Cabernet Sauvignon 2015,2015,199,4.0,2135,United States
Chardonnay 2016,2016,179,3.8,2119,Chile
Chardonnay 2018,2018,59.95,3.6,2115,Argentina
Viña Bosconia Reserva 2008,2008,220,4.1,2105,Spain
Albe Barolo 2016,2016,599,4.0,2100,Italy
Tinto 2016,2016,89.95,3.7,2087,Portugal
Pauillac (Grand Cru Classé) 2010,2010,1895,4.6,2084,France
Freakshow Zinfandel 2017,2017,199,3.8,2082,United States
Reserva 2016,2016,215,3.8,2075,Spain
Pouilly-Fuissé 2018,2018,309,4.2,2066,France
Tinto 2018,2018,279.95,4.5,2018,Spain
Rosso di Montalcino 2018,2018,149,3.6,2017,Italy
Cabernet Sauvignon 2016,2016,165,3.7,1986,United States
Amaranta Montepulciano d'Abruzzo 2017,2017,159.95,4.2,1975,Italy
Bolgheri Il Seggio 2017,2017,269,4.1,1972,Italy
Malbec 2013,2013,149.95,4.1,1967,Argentina
The Pundit 2016,2016,285,3.9,1964,United States
Chardonnay 2017,2017,129.95,3.9,1959,Argentina
Jumilla Blue Label 2017,2017,199,4.2,1952,Spain
Pinot Noir Bourgogne 'Les Ursulines' 2018,2018,169,3.6,1933,France
Châteauneuf-du-Pape 2012,2012,695,4.4,1928,France
Lobo e Falcão Wolf & Falcon Tinto 2019,2019,79,4.1,1928,Portugal
Earthquake Cabernet Sauvignon 2014,2014,279,4.1,1924,United States
Sauvignon Winkl 2019,2019,159.95,4.2,1909,Italy
Post Scriptum (de Chryseia) Douro 2017,2017,199,4.0,1907,Portugal
De Sangre 2013,2013,154.95,4.2,1906,Argentina
PSI 2018,2018,325,4.2,1899,Spain
Reserva 2015,2015,110,3.8,1883,Spain
Barrua 2011,2011,250,4.2,1868,Italy
Duas Quintas Tinto 2017,2017,79,4.0,1852,Portugal
Campo di Sasso Insoglio del Cinghiale 2018,2018,219.95,4.0,1850,Italy
Chardonnay 2018,2018,169,3.8,1834,United States
Viña Bosconia Reserva 2005,2005,275,4.1,1828,Spain
Chianti Classico 2016,2016,175,4.0,1828,Italy
Pizzella Malbec (Pizzella Family Vineyard) 2018,2018,99.95,4.1,1824,Argentina
Brunello di Montalcino 2013,2013,399,4.2,1815,Italy
Merlot 2017,2017,175,3.9,1815,United States
Orion Primitivo 2018,2018,85,4.1,1813,Italy
Pauillac (Grand Cru Classé) 2009,2009,1495,4.5,1802,France
Les Darons Rouge 2016,2016,220,3.8,1798,France
